Company,Industry Tags
QuickBooks Online,"accounting software, bookkeeping, invoicing, small-business finance, payroll SaaS"
BlackLine,"financial close, accounting automation, reconciliations, ERP integration, SaaS"
Anaplan,"connected planning, financial modeling, forecasting, budgeting, enterprise planning"
Procore,"construction management, project scheduling, field collaboration, building SaaS"
Autodesk BIM 360,"construction management, BIM collaboration, field documentation, design coordination SaaS"
PlanGrid,"construction drawings, field collaboration, project documentation, mobile plans SaaS"
Buildertrend,"home-builder software, project management, client portal, schedules, construction SaaS"
ServiceTitan,"field-service management, dispatching, HVAC software, job costing, technician scheduling SaaS"
Jobber,"service-business software, scheduling, invoicing, field-service management, quotes SaaS"
Mailchimp,"email marketing, marketing automation, newsletters, campaign management, small-business SaaS"
Klaviyo,"e-commerce marketing, email automation, SMS campaigns, customer segmentation, personalization SaaS"
ActiveCampaign,"marketing automation, email campaigns, CRM, customer-experience automation, messaging SaaS"
SendGrid,"email delivery, transactional email, SMTP relay, email API, deliverability SaaS"
Constant Contact,"email marketing, contact management, event marketing, SMB campaigns, automation SaaS"
Campaign Monitor,"email marketing, template builder, list management, email analytics, SaaS"
Marketo,"marketing automation, lead nurturing, campaign orchestration, B2B marketing SaaS"
Pardot,"B2B marketing automation, lead scoring, email campaigns, Salesforce marketing cloud SaaS"
Eloqua,"marketing automation, demand generation, campaign management, lead management, Oracle SaaS"
SEMrush,"SEO platform, keyword research, competitive analysis, content marketing, search analytics SaaS"
Ahrefs,"SEO tools, backlink analysis, keyword research, site audit, search-engine optimization SaaS"
Moz,"SEO software, domain authority, keyword explorer, rank tracking, inbound marketing SaaS"
Yoast,"SEO plugin, WordPress optimization, content analysis, on-page SEO, readability SaaS"
Gong,"revenue intelligence, call recording, conversational analytics, sales coaching, AI insights SaaS"
Chorus.ai,"conversation intelligence, call analysis, sales coaching, deal insights, revenue platform SaaS"
SalesLoft,"sales engagement, cadence automation, email & dialer, prospecting, revenue workflow SaaS"
Outreach,"sales engagement, multichannel sequences, prospecting automation, pipeline generation SaaS"
Apollo.io,"sales intelligence, lead data, prospecting platform, email sequences, revenue acceleration SaaS"
ZoomInfo,"B2B data, contact database, sales intelligence, lead generation, go-to-market SaaS"
LinkedIn Sales Navigator,"social selling, prospect discovery, relationship insights, B2B sales, LinkedIn SaaS"
Medallia,"CX analytics, voice of customer, feedback management, experience platform, sentiment analysis SaaS"
Qualtrics,"experience management, survey platform, feedback analytics, CX research, employee engagement SaaS"
SurveyMonkey,"survey platform, online questionnaires, market research, feedback collection, data insights SaaS"
Typeform,"conversational forms, surveys & quizzes, data collection, interactive questionnaires, no-code SaaS"
UserTesting,"user research, usability testing, video feedback, customer insights, UX testing SaaS"
Hotjar,"behavior analytics, heatmaps, session recordings, feedback polls, UX optimization SaaS"
FullStory,"digital-experience analytics, session replay, conversion insights, product analytics SaaS"
Contentsquare,"digital-experience analytics, UX insights, heatmaps, journey analysis SaaS"
Optimizely,"experimentation platform, A/B testing, feature flags, digital optimization SaaS"
VWO,"A/B testing, CRO platform, personalization, web experimentation, behavior analytics SaaS"
LaunchDarkly,"feature management, feature flags, release orchestration, progressive delivery SaaS"
Netlify,"front-end hosting, serverless functions, CI/CD, JAMstack deployment, web infrastructure SaaS"
Vercel,"front-end cloud, Next.js hosting, edge network, serverless deployment, developer experience SaaS"
Firebase,"app backend, realtime database, push notifications, authentication, mobile development SaaS"
Algolia,"search API, instant search, full-text search, relevance engine, developer platform SaaS"
Lucidchart,"diagramming, flowcharts, visual collaboration, process mapping SaaS"
Miro,"online whiteboard, visual collaboration, brainstorming, workshops, remote teamwork SaaS"
Figma,"design collaboration, UI prototyping, vector graphics, multiplayer editing, cloud design SaaS"
Canva,"graphic design, drag-and-drop editing, marketing creatives, social-media graphics SaaS"
Sketch,"vector design, UI design, prototyping, Mac app, design-system SaaS"
InVision,"design collaboration, prototypes & mockups, design workflow, stakeholder feedback SaaS"
Framer,"interactive prototyping, design-to-code, React components, visual design SaaS"
Axure RP,"UX wireframing, interactive prototypes, requirements documentation, diagramming SaaS"
Balsamiq,"wireframing tool, low-fidelity mockups, rapid prototyping, UI sketches SaaS"
